Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
05.04.2020	Sonntag	6. Sonntag der Passionszeit – Palmsonntag	Psalm 68,27	Lobet Gott in den Versammlungen.	Johannes 12,12-13	Als die große Menge, die aufs Fest gekommen war, hörte, dass Jesus nach Jerusalem kommen werde, nahmen sie Palmzweige und gingen hinaus ihm entgegen und schrien: Hosianna! Gelobt sei, der da kommt im Namen des Herrn, der König von Israel!
06.04.2020	Montag		Hosea 8,12	Wenn ich auch noch so viele meiner Gebote aufschreibe, so werden sie doch geachtet wie eine fremde Lehre.	Johannes 18,37	/Jesus spricht:/ Ich bin dazu geboren und in die Welt gekommen, dass ich die Wahrheit bezeuge. Wer aus der Wahrheit ist, der hört meine Stimme.
07.04.2020	Dienstag		Zefanja 3,15	Der HERR, der König Israels, ist bei dir, dass du dich vor keinem Unheil mehr fürchten musst.	Markus 4,40	/Jesus sprach zu den Jüngern:/ Was seid ihr so furchtsam? Habt ihr noch keinen Glauben?
08.04.2020	Mittwoch		Psalm 51,14	Erfreue mich wieder mit deiner Hilfe, und mit einem willigen Geist rüste mich aus.	Johannes 16,20	Eure Traurigkeit soll zur Freude werden.
09.04.2020	Donnerstag	Gründonnerstag	Sacharja 8,21	Lasst uns gehen, den HERRN anzuflehen und zu suchen den HERRN Zebaoth; wir wollen mit euch gehen.	Markus 14,26	Als sie den Lobgesang gesungen hatten, gingen sie hinaus an den Ölberg.
10.04.2020	Freitag	Karfreitag	Psalm 112,1	Wohl dem, der den HERRN fürchtet, der große Freude hat an seinen Geboten!	1. Petrus 2,24-25	Durch seine Wunden seid ihr heil geworden. Denn ihr wart wie irrende Schafe; aber ihr seid nun umgekehrt zu dem Hirten und Bischof eurer Seelen.
11.04.2020	Samstag		Jeremia 14,7	Ach, HERR, wenn unsre Sünden uns verklagen, so hilf doch um deines Namens willen!	1. Petrus 2,24	Christus hat unsre Sünden selbst hinaufgetragen an seinem Leibe auf das Holz, damit wir, den Sünden abgestorben, der Gerechtigkeit leben.
12.04.2020	Sonntag	Osterfest	Jesaja 60,2	Siehe, Finsternis bedeckt das Erdreich und Dunkel die Völker; aber über dir geht auf der HERR, und seine Herrlichkeit erscheint über dir.	Markus 16,2-4	Maria Magdalena und Maria, die Mutter des Jakobus, und Salome kamen zum Grab am ersten Tag der Woche, sehr früh, als die Sonne aufging. Und sie sprachen untereinander: Wer wälzt uns den Stein von des Grabes Tür? Und sie sahen hin und wurden gewahr, dass der Stein weggewälzt war.
13.04.2020	Montag	Ostermontag	1. Mose 32,2	Jakob zog seinen Weg. Und es begegneten ihm die Engel Gottes.	Matthäus 28,5.7	Der Engel sprach zu den Frauen: Geht eilends hin und sagt seinen Jüngern: Er ist auferstanden von den Toten. Und siehe, er geht vor euch hin nach Galiläa; da werdet ihr ihn sehen.
14.04.2020	Dienstag		Jesaja 51,5	Meine Gerechtigkeit ist nahe, mein Heil tritt hervor, und meine Arme werden die Völker richten.	1. Petrus 1,3	Gelobt sei Gott, der Vater unseres Herrn Jesus Christus, der uns nach seiner großen Barmherzigkeit wiedergeboren hat zu einer lebendigen Hoffnung durch die Auferstehung Jesu Christi von den Toten.
15.04.2020	Mittwoch		5. Mose 2,7	Der HERR, dein Gott, ist bei dir gewesen. An nichts hast du Mangel gehabt.	2. Korinther 6,4.10	/Paulus schreibt:/ In allem erweisen wir uns als Diener Gottes: in großer Geduld, in Bedrängnissen, in Nöten, in Ängsten; als die Traurigen, aber allezeit fröhlich; als die Armen, aber die doch viele reich machen; als die nichts haben und doch alles haben.
16.04.2020	Donnerstag		Jesaja 5,21	Weh denen, die weise sind in ihren eigenen Augen und halten sich selbst für klug!	1. Korinther 2,12	Wir haben nicht empfangen den Geist der Welt, sondern den Geist aus Gott, damit wir wissen, was uns von Gott geschenkt ist.
17.04.2020	Freitag		Psalm 71,3	Sei mir ein starker Hort, dahin ich immer fliehen kann, der du zugesagt hast, mir zu helfen.	2. Timotheus 4,18	Der Herr wird mich erlösen von allem Übel und mich retten in sein himmlisches Reich.
18.04.2020	Samstag		Jeremia 8,7	Der Storch unter dem Himmel weiß seine Zeit, Turteltaube, Schwalbe und Drossel halten die Zeit ein, in der sie wiederkommen sollen; aber mein Volk will das Recht des HERRN nicht wissen.	Titus 2,14	Jesus Christus hat sich selbst für uns gegeben, damit er uns erlöste von aller Ungerechtigkeit und reinigte sich selbst ein Volk zum Eigentum, das eifrig wäre zu guten Werken.
19.04.2020	Sonntag	1. Sonntag nach Ostern – Quasimodogeniti (Wie die neugeborenen Kindlein. 1.Petrus 2,2)	5. Mose 32,10	Er behütete sein Volk wie seinen Augapfel.	Lukas 12,32	Fürchte dich nicht, du kleine Herde! Denn es hat eurem Vater wohlgefallen, euch das Reich zu geben.
20.04.2020	Montag		1. Mose 18,19	/Der HERR sprach:/ Dazu habe ich Abraham auserkoren, dass er seinen Kindern befehle und seinem Hause nach ihm, dass sie des HERRN Wege halten und tun, was recht und gut ist.	Römer 6,22	Befreit von der Sünde und in den Dienst Gottes gestellt, habt ihr die Frucht, die Heiligung schafft, und als Ziel ewiges Leben.
21.04.2020	Dienstag		Daniel 6,24	Sie zogen Daniel aus der Grube heraus, und man fand keine Verletzung an ihm; denn er hatte seinem Gott vertraut.	1. Korinther 16,13	Wachet, steht im Glauben, seid mutig und seid stark!
22.04.2020	Mittwoch		Hesekiel 16,8	Ich schwor dir’s und schloss mit dir einen Bund, spricht Gott der HERR, und, du wurdest mein.	Galater 3,26	Ihr seid alle durch den Glauben Gottes Kinder in Christus Jesus.
23.04.2020	Donnerstag		Jesaja 44,21	Ich habe dich bereitet, dass du mein Knecht seist. Israel, ich vergesse dich nicht!	Hebräer 10,35	Werft euer Vertrauen nicht weg, welches eine große Belohnung hat.
24.04.2020	Freitag		Jeremia 14,21	HERR, gedenke doch an deinen Bund mit uns und lass ihn nicht aufhören!	1. Korinther 1,9	Gott ist treu, durch den ihr berufen seid zur Gemeinschaft seines Sohnes Jesus Christus, unseres Herrn.
25.04.2020	Samstag		5. Mose 30,9	Der HERR wird sich wieder über dich freuen, dir zugut, wie er sich über deine Väter gefreut hat.	Johannes 15,10-11	/Jesus spricht:/ Wenn ihr meine Gebote haltet, bleibt ihr in meiner Liebe, so wie ich meines Vaters Gebote gehalten habe und bleibe in seiner Liebe. Das habe ich euch gesagt, auf dass meine Freude in euch sei und eure Freude vollkommen werde.
26.04.2020	Sonntag	2. Sonntag nach Ostern – Miserikordias Domini (Die Erde ist voll der Güte des HERRN. Psalm 33,5)	Jona 2,3	Ich rief zu dem HERRN in meiner Angst, und er antwortete mir.	Markus 5,22-24	Da kam einer von den Vorstehern der Synagoge, mit Namen Jaïrus. Und als er Jesus sah, fiel er ihm zu Füßen und bat ihn sehr und sprach: Meine Tochter liegt in den letzten Zügen; komm und lege ihr die Hände auf, dass sie gesund werde und lebe. Und er ging hin mit ihm.
27.04.2020	Montag		1. Mose 3,8	Adam versteckte sich mit seiner Frau vor dem Angesicht Gottes des HERRN.	Römer 8,15	Ihr habt nicht einen Geist der Knechtschaft empfangen, dass ihr euch abermals fürchten müsstet; sondern ihr habt einen Geist der Kindschaft empfangen, durch den wir rufen: Abba, lieber Vater!
28.04.2020	Dienstag		1. Chronik 22,19	So richtet nun euer Herz und euren Sinn darauf, den HERRN, euren Gott, zu suchen.	1. Korinther 9,24	Lauft so, dass ihr den Siegespreis erlangt.
29.04.2020	Mittwoch		Prediger 9,10	Alles, was dir vor die Hände kommt, es zu tun mit deiner Kraft, das tu.	Römer 12,11	Seid nicht träge in dem, was ihr tun sollt. Seid brennend im Geist. Dient dem Herrn.
30.04.2020	Donnerstag		Psalm 73,1	Gott ist dennoch Israels Trost für alle, die reinen Herzens sind.	1. Johannes 3,21-22	Ihr Lieben, wenn uns unser Herz nicht verdammt, so reden wir freimütig zu Gott, und was wir bitten, empfangen wir von ihm; denn wir halten seine Gebote und tun, was vor ihm wohlgefällig ist.
01.05.2020	Freitag		4. Mose 11,23	Ist denn die Hand des HERRN zu kurz?	Matthäus 6,28-29.31	Schaut die Lilien auf dem Feld an, wie sie wachsen: Sie arbeiten nicht, auch spinnen sie nicht. Ich sage euch, dass auch Salomo in aller seiner Herrlichkeit nicht gekleidet gewesen ist wie eine von ihnen. Darum sollt ihr nicht sorgen und sagen: Was werden wir essen? Was werden wir trinken? Womit werden wir uns kleiden?
02.05.2020	Samstag		Psalm 51,13	Verwirf mich nicht von deinem Angesicht, und nimm deinen heiligen Geist nicht von mir.	Kolosser 1,3.13	Wir danken Gott, dem Vater unseres Herrn Jesus Christus. Er hat uns errettet aus der Macht der Finsternis und hat uns versetzt in das Reich seines geliebten Sohnes.
03.05.2020	Sonntag	3. Sonntag nach Ostern – Jubilate (Jauchzet Gott, alle Lande! Psalm 66,1)	2. Samuel 2,26	Abner rief Joab zu: Soll denn das Schwert ohne Ende fressen? Weißt du nicht, dass daraus am Ende nur Jammer kommen wird?	1. Korinther 7,15	Zum Frieden hat euch Gott berufen.
04.05.2020	Montag		Psalm 107,3.8	Die er aus den Ländern zusammengebracht hat von Osten und Westen, von Norden und Süden: Die sollen dem HERRN danken für seine Güte und für seine Wunder, die er an den Menschenkindern tut.	Lukas 14,22-23	/Der Knecht im Gleichnis sprach:/ Herr, es ist geschehen, was du befohlen hast; es ist aber noch Raum da. Und der Herr sprach zu dem Knecht: Geh hinaus auf die Landstraßen und an die Zäune und nötige sie hereinzukommen, dass mein Haus voll werde.
05.05.2020	Dienstag		Hiob 9,8.9	Gott breitet den Himmel aus und geht auf den Wogen des Meers. Er macht den Großen Wagen am Himmel und den Orion und das Siebengestirn und die Sterne des Südens.	Kolosser 1,15-16	Christus ist das Ebenbild des unsichtbaren Gottes, der Erstgeborene vor aller Schöpfung. Denn in ihm ist alles geschaffen, was im Himmel und auf Erden ist, das Sichtbare und das Unsichtbare.
06.05.2020	Mittwoch		Jesaja 42,16	Ich will die Finsternis vor ihnen her zum Licht machen und das Höckerige zur Ebene.	Lukas 1,78-79	Durch die herzliche Barmherzigkeit unseres Gottes wird uns besuchen das aufgehende Licht aus der Höhe, auf dass es erscheine denen, die sitzen in Finsternis und Schatten des Todes, und richte unsere Füße auf den Weg des Friedens.
07.05.2020	Donnerstag		Nehemia 9,17	Du bist ein Gott der Vergebung, gnädig und barmherzig, langmütig und reich an Güte.	2. Timotheus 2,13	Sind wir untreu, so bleibt er treu; denn er kann sich selbst nicht verleugnen.
08.05.2020	Freitag		Psalm 119,77	HERR, lass mir deine Barmherzigkeit widerfahren, dass ich lebe.	Markus 1,30-31	Die Schwiegermutter Simons aber lag darnieder und hatte das Fieber; und alsbald sagten sie Jesus von ihr. Und er trat zu ihr, ergriff sie bei der Hand und richtete sie auf; und das Fieber verließ sie.
09.05.2020	Samstag		5. Mose 2,7	Der HERR, dein Gott, hat dich gesegnet in allen Werken deiner Hände.	1. Korinther 4,2	Nun fordert man nicht mehr von den Haushaltern, als dass sie für treu befunden werden.
10.05.2020	Sonntag	4. Sonntag nach Ostern – Kantate (Singet dem HERRN ein neues Lied! Psalm 98,1)	1. Samuel 10,7	Tu, was dir vor die Hand kommt; denn Gott ist mit dir.	2. Timotheus 2,7	Der Herr aber wird dir in allen Dingen Einsicht geben.
11.05.2020	Montag		Psalm 44,2	Gott, wir haben mit unsern Ohren gehört, unsre Väter haben’s uns erzählt, was du getan hast zu ihren Zeiten, vor alters.	Lukas 10,39	Maria setzte sich dem Herrn zu Füßen und hörte seiner Rede zu.
12.05.2020	Dienstag		1. Könige 3,5.9	/Der HERR sprach zu Salomo:/ Bitte, was ich dir geben soll! Salomo sprach: Du wollest deinem Knecht ein gehorsames Herz geben, dass er dein Volk richten könne und verstehen, was gut und böse ist.	Philipper 1,9-10	/Paulus schreibt:/ Ich bete darum, dass eure Liebe immer noch reicher werde an Erkenntnis und aller Erfahrung, sodass ihr prüfen könnt, was das Beste sei.
13.05.2020	Mittwoch		1. Könige 8,39	Du allein kennst das Herz aller Menschenkinder.	2. Thessalonicher 2,16-17	Unser Herr Jesus Christus, und Gott, unser Vater, der uns geliebt und uns einen ewigen Trost gegeben hat und eine gute Hoffnung durch Gnade, der tröste eure Herzen und stärke euch in allem guten Werk und Wort.
14.05.2020	Donnerstag		Hiob 13,9	Meint ihr, dass ihr Gott täuschen werdet, wie man einen Menschen täuscht?	2. Korinther 13,5	Erforscht euch selbst, ob ihr im Glauben steht; prüft euch selbst! Oder erkennt ihr an euch selbst nicht, dass Jesus Christus in euch ist?
15.05.2020	Freitag		5. Mose 26,7	Der HERR erhörte unser Schreien und sah unser Elend, unsere Angst und Not.	Lukas 18,7	Sollte Gott nicht auch Recht schaffen seinen Auserwählten, die zu ihm Tag und Nacht rufen, und sollte er bei ihnen lange warten?
16.05.2020	Samstag		Jesaja 51,6	Der Himmel wird wie ein Rauch vergehen und die Erde wie ein Kleid zerfallen, und die darauf wohnen, werden wie Mücken dahinsterben. Aber mein Heil bleibt ewiglich.	Lukas 21,33	/Jesus spricht:/ Himmel und Erde werden vergehen; aber meine Worte werden nicht vergehen.
17.05.2020	Sonntag	5. Sonntag nach Ostern – Rogate (Betet!)	1. Könige 8,58	Der HERR, unser Gott, neige unser Herz zu ihm, dass wir wandeln in allen seinen Wegen.	Kolosser 2,6-7	Wie ihr nun angenommen habt den Herrn Christus Jesus, so lebt auch in ihm, verwurzelt und gegründet in ihm und fest im Glauben, wie ihr gelehrt worden seid, und voller Dankbarkeit.
18.05.2020	Montag		Nehemia 9,20	HERR, du gabst unsern Vätern deinen guten Geist, sie zu unterweisen.	Johannes 14,26	/Jesus spricht:/ Der Tröster, der Heilige Geist, den mein Vater senden wird in meinem Namen, der wird euch alles lehren und euch an alles erinnern, was ich euch gesagt habe.
19.05.2020	Dienstag		Hesekiel 33,11	So kehrt nun um von euren bösen Wegen. Warum wollt ihr sterben?	Lukas 19,8	Zachäus aber trat herzu und sprach zu dem Herrn: Siehe, Herr, die Hälfte von meinem Besitz gebe ich den Armen, und wenn ich jemanden betrogen habe, so gebe ich es vierfach zurück.
20.05.2020	Mittwoch		Sprüche 29,7	Der Gerechte erkennt die Sache der Armen.	Hebräer 6,10	Gott ist nicht ungerecht, dass er vergäße euer Werk und die Liebe, die ihr seinem Namen erwiesen habt, indem ihr den Heiligen dientet und noch dient.
21.05.2020	Donnerstag	Christi Himmelfahrt	Psalm 97,10	Die ihr den HERRN liebet, hasset das Arge!	Epheser 4,15	Lasst uns wahrhaftig sein in der Liebe und wachsen in allen Stücken zu dem hin, der das Haupt ist, Christus.
22.05.2020	Freitag		Jeremia 31,20	Ist nicht Ephraim mein teurer Sohn und mein liebes Kind? Denn sooft ich ihm auch drohe, muss ich doch seiner gedenken; darum bricht mir mein Herz, dass ich mich seiner erbarmen muss, spricht der HERR.	Lukas 15,20	Als der Sohn noch weit entfernt war, sah ihn sein Vater und es jammerte ihn, und er lief und fiel ihm um den Hals und küsste ihn.
23.05.2020	Samstag		5. Mose 11,26-28	/Mose sprach:/ Siehe, ich lege euch heute vor den Segen und den Fluch: den Segen, wenn ihr gehorcht den Geboten des HERRN, eures Gottes, die ich euch heute gebiete; den Fluch aber, wenn ihr nicht gehorchen werdet den Geboten des HERRN, eures Gottes.	Kolosser 3,24-25	Dient dem Herrn Christus! Denn wer unrecht tut, der wird empfangen, was er unrecht getan hat; und es gilt kein Ansehen der Person.
24.05.2020	Sonntag	6. Sonntag nach Ostern – Exaudi (HERR, höre meine Stimme! Psalm 27,7)	Psalm 130,4	Bei dir ist die Vergebung, dass man dich fürchte.	Kolosser 3,13	Wie der Herr euch vergeben hat, so vergebt auch ihr!
25.05.2020	Montag		Psalm 5,4	HERR, frühe wollest du meine Stimme hören, frühe will ich mich zu dir wenden und aufmerken.	Epheser 6,18	Betet allezeit mit allem Bitten und Flehen im Geist und wacht dazu mit aller Beharrlichkeit und Flehen für alle Heiligen.
26.05.2020	Dienstag		Psalm 14,2	Der HERR schaut vom Himmel auf die Menschenkinder, dass er sehe, ob jemand klug sei und nach Gott frage.	Römer 12,2	Stellt euch nicht dieser Welt gleich, sondern ändert euch durch Erneuerung eures Sinnes, auf dass ihr prüfen könnt, was Gottes Wille ist, nämlich das Gute und Wohlgefällige und Vollkommene.
27.05.2020	Mittwoch		Psalm 138,8	Der HERR wird’s vollenden um meinetwillen.	Philipper 1,6	/Paulus schreibt:/ Ich bin darin guter Zuversicht, dass der in euch angefangen hat das gute Werk, der wird’s auch vollenden bis an den Tag Christi Jesu.
28.05.2020	Donnerstag		Psalm 25,16	Wende dich zu mir und sei mir gnädig; denn ich bin einsam und elend.	Johannes 5,7-8	Der Kranke antwortete Jesus: Herr, ich habe keinen Menschen, der mich in den Teich bringt, wenn das Wasser sich bewegt; wenn ich aber hinkomme, so steigt ein anderer vor mir hinein. Jesus spricht zu ihm: Steh auf, nimm dein Bett und geh hin!
29.05.2020	Freitag		Psalm 35,28	Meine Zunge soll reden von deiner Gerechtigkeit und dich täglich preisen.	Lukas 24,52-53	Die Jünger kehrten zurück nach Jerusalem mit großer Freude und waren allezeit im Tempel und priesen Gott.
30.05.2020	Samstag		4. Mose 22,18	Bileam sprach: Wenn mir Balak sein Haus voll Silber und Gold gäbe, so könnte ich doch nicht übertreten das Wort des HERRN.	2. Korinther 2,17	Wir sind ja nicht wie die vielen, die mit dem Wort Gottes Geschäfte machen; sondern wie man aus Lauterkeit und aus Gott redet, so reden wir vor Gott in Christus.
31.05.2020	Sonntag	Pfingstfest	Jesaja 5,8	Wehe denen, die ein Haus zum andern bringen und einen Acker an den andern rücken, bis kein Raum mehr da ist und ihr allein das Land besitzt!	1. Korinther 12,13	Wir sind durch einen Geist alle zu einem Leib getauft, wir seien Juden oder Griechen, Sklaven oder Freie, und sind alle mit einem Geist getränkt.
01.06.2020	Montag	Pfingstmontag	Jesaja 44,8	Fürchtet euch nicht und erschreckt nicht! Habe ich’s dich nicht schon lange hören lassen und es dir verkündigt? Ihr seid doch meine Zeugen!	Matthäus 10,27	Was euch gesagt wird in das Ohr, das verkündigt auf den Dächern.
02.06.2020	Dienstag		1. Samuel 2,1	Mein Herz ist fröhlich in dem HERRN.	1. Petrus 1,8	Ihn habt ihr nicht gesehen und habt ihn doch lieb; und nun glaubt ihr an ihn, obwohl ihr ihn nicht seht; ihr werdet euch aber freuen mit unaussprechlicher und herrlicher Freude.
03.06.2020	Mittwoch		Psalm 34,16	Die Augen des HERRN merken auf die Gerechten und seine Ohren auf ihr Schreien.	Matthäus 7,7	Bittet, so wird euch gegeben; suchet, so werdet ihr finden; klopfet an, so wird euch aufgetan.
04.06.2020	Donnerstag		1. Samuel 17,45	/David sprach zu Goliat:/ Du kommst zu mir mit Schwert, Spieß und Sichelschwert, ich aber komme zu dir im Namen des HERRN Zebaoth.	Epheser 6,14-15	So steht nun fest, umgürtet an euren Lenden mit Wahrheit und angetan mit dem Panzer der Gerechtigkeit und beschuht an den Füßen, bereit für das Evangelium des Friedens.
05.06.2020	Freitag		Psalm 42,4	Meine Tränen sind meine Speise Tag und Nacht, weil man täglich zu mir sagt: Wo ist nun dein Gott?	2. Korinther 12,9	Lass dir an meiner Gnade genügen; denn meine Kraft vollendet sich in der Schwachheit.
06.06.2020	Samstag		Daniel 3,33	Wie groß sind Gottes Zeichen und wie mächtig seine Wunder! Sein Reich ist ein ewiges Reich, und seine Herrschaft währet für und für.	Hebräer 12,28	Weil wir ein Reich empfangen, das nicht erschüttert wird, lasst uns dankbar sein und so Gott dienen.
07.06.2020	Sonntag	Trinitatis (Dreieinigkeit)	Psalm 98,9	Der HERR kommt, das Erdreich zu richten. Er wird den Erdkreis richten mit Gerechtigkeit und die Völker, wie es recht ist.	Matthäus 24,14	Es wird gepredigt werden dies Evangelium vom Reich in der ganzen Welt zum Zeugnis für alle Völker, und dann wird das Ende kommen.
08.06.2020	Montag		Jesaja 40,2	Redet mit Jerusalem freundlich und predigt ihr, dass ihre Knechtschaft ein Ende hat, dass ihre Schuld vergeben ist.	Römer 8,21	Auch die Schöpfung wird frei werden von der Knechtschaft der Vergänglichkeit zu der herrlichen Freiheit der Kinder Gottes.
09.06.2020	Dienstag		2. Mose 20,15	Du sollst nicht stehlen.	1. Korinther 10,24	Niemand suche das Seine, sondern was dem andern dient.
10.06.2020	Mittwoch		1. Könige 17,16	Das Mehl im Krug ging nicht aus, und der Ölkrug wurde nicht leer, nach dem Wort des HERRN, das dieser durch Elia gesprochen hatte.	Markus 6,41-42	Jesus nahm die fünf Brote und zwei Fische und sah auf zum Himmel, dankte und brach die Brote und gab sie den Jüngern, dass sie sie ihnen austeilten, und die zwei Fische teilte er unter sie alle. Und sie aßen alle und wurden satt.
11.06.2020	Donnerstag		Psalm 124,7	Unsre Seele ist entronnen wie ein Vogel dem Netze des Vogelfängers; das Netz ist zerrissen, und wir sind frei.	Apostelgeschichte 12,7	Der Engel des Herrn kam in das Gefängnis und Licht leuchtete auf in dem Raum; und er stieß Petrus in die Seite und weckte ihn und sprach: Steh schnell auf! Und die Ketten fielen ihm von seinen Händen.
12.06.2020	Freitag		Jeremia 12,3	Du, HERR, du kennst mich, du siehst mich und prüfst, ob mein Herz bei dir ist.	Johannes 15,9	/Jesus spricht:/ Wie mich mein Vater liebt, so liebe ich euch auch. Bleibt in meiner Liebe!
13.06.2020	Samstag		Sacharja 12,10	Aber über das Haus David und über die Bürger Jerusalems will ich ausgießen den Geist der Gnade und des Gebets.	Römer 8,26	Der Geist hilft unsrer Schwachheit auf. Denn wir wissen nicht, was wir beten sollen, wie sich’s gebührt.
14.06.2020	Sonntag	1. Sonntag nach Trinitatis	Psalm 8,7	Du hast den Menschen zum Herrn gemacht über deiner Hände Werk, alles hast du unter seine Füße getan.	Epheser 5,1-2	So ahmt nun Gott nach als geliebte Kinder und wandelt in der Liebe, wie auch Christus uns geliebt hat.
15.06.2020	Montag		Jesaja 26,19	Deine Toten werden leben.	2. Korinther 4,14	Wir wissen, dass der, der den Herrn Jesus auferweckt hat, wird uns auch auferwecken mit Jesus.
16.06.2020	Dienstag		Jeremia 2,17	Das alles hast du dir doch selbst bereitet, weil du den HERRN, deinen Gott, verlässt, sooft er dich den rechten Weg leiten will.	Johannes 8,31	/Jesus spricht:/ Wenn ihr bleiben werdet an meinem Wort, so seid ihr wahrhaftig meine Jünger.
17.06.2020	Mittwoch		Psalm 100,2	Dienet dem HERRN mit Freuden, kommt vor sein Angesicht mit Frohlocken!	Kolosser 1,12	Sagt Dank dem Vater, der euch tüchtig gemacht hat zu dem Erbteil der Heiligen im Licht.
18.06.2020	Donnerstag		1. Mose 6,22	Noah tat alles, was ihm Gott gebot.	Hebräer 11,1	Es ist der Glaube eine feste Zuversicht dessen, was man hofft, und ein Nichtzweifeln an dem, was man nicht sieht.
19.06.2020	Freitag		Psalm 32,8	/Der HERR spricht:/ Ich will dich unterweisen und dir den Weg zeigen, den du gehen sollst.	Epheser 5,17	Versteht, was der Wille des Herrn ist.
20.06.2020	Samstag		Psalm 111,3	Was der HERR tut, das ist herrlich und prächtig, und seine Gerechtigkeit bleibt ewiglich.	2. Timotheus 2,19	Es lasse ab von Ungerechtigkeit, wer den Namen des Herrn nennt.
21.06.2020	Sonntag	2. Sonntag nach Trinitatis	Psalm 92,2-3	Das ist ein köstlich Ding, dem HERRN danken und lobsingen deinem Namen, du Höchster, des Morgens deine Gnade und des Nachts deine Wahrheit verkündigen.	Römer 15,5-6	Der Gott der Geduld und des Trostes gebe euch, dass ihr einträchtig gesinnt seid untereinander, wie es Christus Jesus entspricht, damit ihr einmütig mit einem Munde Gott lobt, den Vater unseres Herrn Jesus Christus.
22.06.2020	Montag		Psalm 65,12	Du krönst das Jahr mit deinem Gut.	Jakobus 1,17	Alle gute Gabe und alle vollkommene Gabe kommt von oben herab, von dem Vater des Lichts.
23.06.2020	Dienstag		Psalm 147,15	Er sendet seine Rede auf die Erde, sein Wort läuft schnell.	2. Timotheus 2,9	Gottes Wort ist nicht gebunden.
24.06.2020	Mittwoch	Johannistag	Jesaja 61,11	Wie die Erde hervorbringt, was sprießt, so wird Gott der HERR Gerechtigkeit sprießen lassen und Ruhm vor allen Nationen.	Jakobus 3,18	Die Frucht der Gerechtigkeit aber wird gesät in Frieden für die, die Frieden stiften.
25.06.2020	Donnerstag		Jesaja 60,16	Ich, der HERR, bin dein Heiland, und ich, der Mächtige, dein Erlöser.	Römer 8,35	Wer will uns scheiden von der Liebe Christi?
26.06.2020	Freitag		Psalm 106,3	Wohl denen, die das Gebot halten und tun immerdar recht!	1. Johannes 2,17	Die Welt vergeht mit ihrer Lust; wer aber den Willen Gottes tut, der bleibt in Ewigkeit.
27.06.2020	Samstag		Psalm 74,2	Gott, gedenke an deine Gemeinde, die du vorzeiten erworben und dir zum Erbteil erlöst hast.	2. Korinther 8,9	Ihr kennt die Gnade unseres Herrn Jesus Christus: Obwohl er reich ist, wurde er doch arm um euretwillen, auf dass ihr durch seine Armut reich würdet.
28.06.2020	Sonntag	3. Sonntag nach Trinitatis	Psalm 16,8	Ich habe den HERRN allezeit vor Augen.	Lukas 9,62	Wer die Hand an den Pflug legt und sieht zurück, der ist nicht geschickt für das Reich Gottes.
29.06.2020	Montag		Daniel 6,23	/Daniel sprach:/ Mein Gott hat seinen Engel gesandt, der den Löwen den Rachen zugehalten hat, sodass sie mir kein Leid antun konnten.	2. Korinther 4,9	Wir leiden Verfolgung, aber wir werden nicht verlassen. Wir werden unterdrückt, aber wir kommen nicht um.
30.06.2020	Dienstag		Psalm 27,8	Mein Herz hält dir vor dein Wort: »Ihr sollt mein Antlitz suchen.« Darum suche ich auch, HERR, dein Antlitz.	Philipper 4,6	Sorgt euch um nichts, sondern in allen Dingen lasst eure Bitten in Gebet und Flehen mit Danksagung vor Gott kundwerden!
01.07.2020	Mittwoch		Jeremia 23,24	Meinst du, dass sich jemand so heimlich verbergen könne, dass ich ihn nicht sehe?, spricht der HERR. Bin ich es nicht, der Himmel und Erde erfüllt?, spricht der HERR.	1. Korinther 8,3	Wenn jemand Gott liebt, der ist von ihm erkannt.
02.07.2020	Donnerstag		Psalm 8,2	HERR, unser Herrscher, wie herrlich ist dein Name in allen Landen.	Lukas 1,49	/Maria sprach:/ Er hat große Dinge an mir getan, der da mächtig ist und dessen Name heilig ist.
03.07.2020	Freitag		Psalm 119,73	Deine Hände haben mich gemacht und bereitet; unterweise mich, dass ich deine Gebote lerne.	1. Johannes 3,23	Und das ist sein Gebot, dass wir glauben an den Namen seines Sohnes Jesus Christus und lieben uns untereinander.
04.07.2020	Samstag		3. Mose 26,9	/Der HERR spricht:/ Ich will mich zu euch wenden und will euch fruchtbar machen und euch mehren und will meinen Bund mit euch halten.	2. Korinther 1,20	Auf alle Gottesverheißungen ist in Jesus Christus das Ja; darum sprechen wir auch durch ihn das Amen, Gott zur Ehre.
05.07.2020	Sonntag	4. Sonntag nach Trinitatis	Joel 2,23	Freut euch und seid fröhlich im HERRN, eurem Gott.	Epheser 3,12	Durch Christus Jesus, unsern Herrn, haben wir Freimut und Zugang in aller Zuversicht durch den Glauben an ihn.
06.07.2020	Montag		Psalm 103,12	So fern der Morgen ist vom Abend, lässt er unsre Übertretungen von uns sein.	Römer 5,20	Wo die Sünde mächtig geworden ist, da ist die Gnade noch viel mächtiger geworden.
